SGEM_CODE	Name	Status
K010	Primarschulgemeinde Adlikon	nicht anwendbar
B010	Primarschulgemeinde Aesch	nicht anwendbar
C010	Primarschulgemeinde Aeugst	nicht anwendbar
C031	Sekundarschulgemeinde Affoltern am Albis-Aeugst	nicht anwendbar
K031	Sekundarschulgemeinde Andelfingen (Andelfingen, Kleinandelfingen, Adlikon, Henggart, Humlikon, Thalheim)	nicht anwendbar
K020	Primarschulgemeinde Andelfingen	nicht anwendbar
L010	Primarschulgemeinde Bachenbülach	nicht anwendbar
M010	Primarschulgemeinde Bachs	nicht anwendbar
K040	Primarschulgemeinde Benken	nicht anwendbar
B020	Primarschulgemeinde Birmensdorf	nicht anwendbar
B031	Sekundarschulgemeinde Birmensdorf-Aesch	nicht anwendbar
C061	Sekundarschulgemeinde Bonstetten (Bonstetten, Stallikon, Wettswil a.A.)	nicht anwendbar
M020	Primarschulgemeinde Boppelsen	nicht anwendbar
L041	Sekundarschulgemeinde Bülach (Bülach, Bachenbülach, Hochfelden, Höri, Winkel)	nicht anwendbar
K070	Primarschulgemeinde Dachsen	nicht anwendbar
I110	Primarschulgemeinde Dägerlen	nicht anwendbar
M050	Primarschulgemeinde Dänikon-Hüttikon	nicht anwendbar
M071	Sekundarschulgemeinde Dielsdorf (Dielsdorf, Regensberg, Steinmaur)	nicht anwendbar
M060	Primarschulgemeinde Dielsdorf	nicht anwendbar
L052	Vereinigte Schulgemeinde Dietlikon	Anpassung erfolgt
G021	Sekundarschulgemeinde Dübendorf-Schwerzenbach	nicht anwendbar
L062	Vereinitge Schulgemeinde Eglisau	vorgeprüft
I151	Sekundarschulgemeinde Elgg	nicht anwendbar
I143	Primarschulgemeinde Elgg	nicht anwendbar
I160	Primarschulgemeinde Ellikon an der Thur	nicht anwendbar
I343	Vereinitge Schulgemeinde Elsau-Schlatt	Anpassung erfolgt
L081	Sekundarschulgemeinde Embrach (Embrach, Oberembrach, Lufigen)	nicht anwendbar
G042	Vereinitge Schulgemeinde Fällanden	vorgeprüft
K302	Vereinitge Schulgemeinde  Flaachtal	vorgeprüft
K120	Primarschulgemeinde Flurlingen	nicht anwendbar
F092	Vereinitge Schulgemeinde Grüningen	vorgeprüft
C081	Sekundarschulgemeinde Hausen am Albis (Hausen, Kappel, Rifferswil)	nicht anwendbar
F102	Vereinitge Schulgemeinde Hinwil 	vorgeprüft
H032	Vereinitge Schulgemeinde Hittnau	vorgeprüft
L100	Primarschulgemeinde Hochfelden	nicht anwendbar
L110	Primarschulgemeinde Höri	nicht anwendbar
K140	Primarschulgemeinde Humlikon	nicht anwendbar
C141	Sekundarschulgemeinde Knonau Maschwanden Mettmenstetten	nicht anwendbar
K160	Primarschulgemeinde Laufen-Uhwiesen	nicht anwendbar
K180	Primarschulgemeinde Marthalen	nicht anwendbar
K191	Sekundarschulgemeinde Marthalen (Benken, Marthalen, Rheinau, Trüllikon)	nicht anwendbar
C120	Primarschulgemeinde Maschwanden	nicht anwendbar
G081	Sekundarschulgemeinde Nänikon-Greifensee	nicht anwendbar
M080	Primarschulgemeinde Neerach	nicht anwendbar
M090	Primarschulgemeinde Niederglatt	nicht anwendbar
M111	Sekundarschulgemeinde Niederhasli-Niederglatt-Hofstetten	nicht anwendbar
L160	Primarschulgemeinde Oberembrach	nicht anwendbar
C161	Sekundarschulgemeinde Obfelden-Ottenbach	nicht anwendbar
B060	Primarschulgemeinde Oetwil a.L. -Geroldswil	nicht anwendbar
C170	Primarschulgemeinde Ottenbach	nicht anwendbar
K210	Primarschulgemeinde Ossingen	nicht anwendbar
K221	Sekundarschulgemeinde Ossingen-Truttikon	nicht anwendbar
M170	Primarschulgemeinde Regensberg	nicht anwendbar
M191	Sekundarschulgemeinde Regensdorf-Buchs-Dällikon	nicht anwendbar
I251	Sekundarschulgemeinde Rickenbach (Altikon, Ellikon, Rickenbach und Teile Dinhard)	nicht anwendbar
L192	Vereinitge Schulgemeinde Rorbas- Freienstein-Teufen	Anpassung erfolgt
M200	Primarschulgemeinde Rümlang	nicht anwendbar
